Gene	sgRNA	Rep1|beta	Rep1|z	Rep1|p-value	Rep1|fdr	Rep1|wald-p-value	Rep1|wald-fdr	Rep2|beta	Rep2|z	Rep2|p-value	Rep2|fdr	Rep2|wald-p-value	Rep2|wald-fdr
CCNA2	6	-0.08892	-0.35819	0.36037	0.56721	0.7202	0.9996	-0.084565	-0.33716	0.48053	0.64334	0.736	0.91509
hsa-mir-378g	4	0.34317	1.3722	0.0023191	0.025696	0.16999	0.9996	0.14075	0.55801	0.29438	0.47613	0.57684	0.85349
WDR25	6	-0.24529	-1.1975	0.0096145	0.063823	0.23112	0.9996	0.045278	0.22116	0.66794	0.7909	0.82497	0.94641
PLP2	6	0.059615	0.27192	0.47178	0.6632	0.78569	0.9996	-0.21738	-0.97805	0.069282	0.19862	0.32805	0.76633
PDE7A	6	0.26146	1.0739	0.003237	0.032011	0.28287	0.9996	0.026579	0.10806	0.79302	0.87672	0.91395	0.97585
HMMR	6	0.2784	1.468	0.0020292	0.024194	0.14212	0.9996	0.11751	0.61534	0.28404	0.46563	0.53833	0.84038
KRTAP5-11	6	0.32615	1.3999	0.00048314	0.0097466	0.16154	0.9996	0.29095	1.237	0.0076336	0.050788	0.21609	0.72999
PPT2	6	-0.15021	-0.67634	0.11571	0.28967	0.49882	0.9996	0.020055	0.090234	0.83781	0.90487	0.9281	0.97969
KLRC3	5	0.075821	0.30221	0.40477	0.60565	0.76249	0.9996	-0.22041	-0.86712	0.099478	0.24588	0.38588	0.78219
SRA1	6	0.063063	0.19239	0.44811	0.6424	0.84744	0.9996	0.38215	1.1708	0.00043482	0.0075821	0.24166	0.73424
TEX261	6	0.23339	1.125	0.0087931	0.06091	0.2606	0.9996	-0.129	-0.61112	0.28027	0.46197	0.54112	0.84111
IL26	6	0.0013115	0.0059883	0.93173	0.96551	0.99522	0.9996	0.16298	0.74392	0.14117	0.30396	0.45693	0.81231
ITPK1	6	-0.048512	-0.37383	0.6405	0.79142	0.70853	0.9996	0.23985	1.8492	0.02952	0.11705	0.064434	0.64709
TMEM25	6	-6.21E-05	-0.00035707	0.94565	0.97325	0.99972	0.99991	0.2674	1.5381	0.014639	0.076016	0.12403	0.69329
PCMTD2	6	-0.24281	-1.1967	0.010146	0.066142	0.23143	0.9996	0.082541	0.40818	0.44821	0.61596	0.68314	0.89367
FRRS1	6	-0.13365	-0.7642	0.16142	0.35128	0.44475	0.9996	0.17359	0.9937	0.11711	0.27187	0.32037	0.76366
DYRK1A	6	0.15105	0.84235	0.084308	0.24126	0.39959	0.9996	0.30081	1.6765	0.0064257	0.046618	0.093633	0.66839
TNNI1	6	0.13923	1.0443	0.11074	0.28181	0.29633	0.9996	-0.078342	-0.58508	0.51493	0.67194	0.55849	0.84796
MPI	6	0.099718	0.64214	0.24452	0.45341	0.52078	0.9996	0.118	0.7589	0.2822	0.46387	0.44791	0.80977
ACBD4	6	0.10393	0.55523	0.22582	0.43256	0.57874	0.9996	0.27546	1.4709	0.01145	0.064438	0.14132	0.70378
GPR123	6	-0.05966	-0.34804	0.55382	0.73005	0.72781	0.9996	0.35723	2.0833	0.00091796	0.012203	0.03722	0.64072
hsa-mir-1273d	4	-0.36786	-0.39507	0.0022708	0.025269	0.69279	0.9996	0.8621	1.0288	0	0	0.30355	0.75712
PDP1	6	-0.060758	-0.17207	0.5458	0.7236	0.86338	0.9996	0.31072	0.88411	0.0045415	0.037683	0.37664	0.77971
NUP107	6	-0.18699	-1.0471	0.049667	0.17678	0.29507	0.9996	0.20617	1.1572	0.063388	0.1891	0.2472	0.73701
HIPK3	6	0.30616	1.4155	0.0010146	0.016154	0.15692	0.9996	0.28268	1.2958	0.0099043	0.060047	0.19504	0.71946
PURB	6	-0.17639	-0.79664	0.064402	0.20539	0.42566	0.9996	-0.35548	-1.5987	0.0045898	0.037683	0.10989	0.68701
OR2Z1	6	-0.16519	-0.70876	0.082182	0.23804	0.47847	0.9996	-0.050324	-0.21544	0.68321	0.80224	0.82942	0.9481
hsa-mir-1275	4	0.12172	0.73138	0.24466	0.45341	0.46455	0.9996	0.078846	0.47319	0.55174	0.7039	0.63608	0.87682
LELP1	6	0.18943	0.75683	0.031791	0.13397	0.44915	0.9996	0.2376	0.94368	0.031356	0.12129	0.34533	0.77217
ADAM12	6	0.030764	0.2344	0.68543	0.82306	0.81467	0.9996	-0.17537	-1.3358	0.1432	0.30633	0.1816	0.71487
ATAD1	6	-0.095622	-0.52588	0.32462	0.53489	0.59897	0.9996	0.27727	1.5312	0.011064	0.063505	0.12571	0.69574
POLR2F	6	0.16266	0.73809	0.06305	0.20251	0.46046	0.9996	0.11423	0.51326	0.29708	0.47857	0.60777	0.86708
SARNP	6	0.15203	0.71065	0.082327	0.23812	0.4773	0.9996	0.33656	1.5726	0.0016427	0.017942	0.1158	0.69163
LAMA1	6	-0.23058	-2.1262	0.013625	0.077836	0.033489	0.9996	0.14803	1.3679	0.17958	0.35186	0.17134	0.71436
SIGIRR	6	0.28251	1.5621	0.0017876	0.022397	0.11827	0.9996	-0.051893	-0.28556	0.67214	0.79343	0.77522	0.93004
hsa-mir-548aa-2	4	-0.15903	-0.886	0.1735	0.36755	0.37562	0.9996	-0.038778	-0.21601	0.80501	0.88444	0.82898	0.94792
DPEP1	6	0.005178	0.037376	0.89656	0.94747	0.97018	0.9996	-0.14489	-1.0428	0.22746	0.40691	0.29704	0.75445
ZFP14	6	-0.033911	-0.17392	0.76099	0.86988	0.86193	0.9996	-0.28754	-1.4734	0.01749	0.084402	0.14064	0.70378
ITGB3BP	5	0.13025	0.62525	0.17166	0.36493	0.53181	0.9996	0.11679	0.55943	0.32965	0.50922	0.57587	0.85308
hsa-mir-5706	4	-0.079154	-0.2596	0.51343	0.69855	0.79517	0.9996	0.016279	0.05323	0.88835	0.93615	0.95755	0.98858
USP26	6	0.27683	1.3774	0.0021258	0.024691	0.16838	0.9996	0.25114	1.2469	0.022708	0.099851	0.21244	0.72695
ODC1	6	0.14667	0.67566	0.092376	0.25335	0.49926	0.9996	0.28977	1.3338	0.0079718	0.052448	0.18226	0.71487
CYB561	6	-0.23017	-1.3179	0.013914	0.079077	0.18755	0.9996	-0.12556	-0.71694	0.29278	0.47436	0.47341	0.818
hsa-mir-4654	4	-0.19762	-0.90289	0.089236	0.24835	0.36658	0.9996	0.26527	1.2161	0.046816	0.157	0.22394	0.73289
TMEM248	6	0.17138	0.89811	0.051019	0.1792	0.36912	0.9996	0.22578	1.1812	0.041115	0.14507	0.23751	0.73289
MCMBP	6	0.071213	0.39281	0.39724	0.59927	0.69446	0.9996	-0.17847	-0.96929	0.13605	0.29679	0.3324	0.76676
CFC1B	3	0.40275	2.6064	0.0026089	0.027749	0.0091511	0.9996	0.025909	0.16703	0.84834	0.91055	0.86734	0.96117
BCR	6	-0.70645	-2.4513	0	0	0.014234	0.9996	-0.26863	-0.93892	0.027104	0.11166	0.34777	0.77337
PCDHA13	2	0.088195	0.33946	0.52469	0.70726	0.73426	0.9996	0.10296	0.39615	0.57233	0.71977	0.69199	0.89772
ZNF510	6	0.21326	0.83934	0.015654	0.08495	0.40128	0.9996	0.32727	1.285	0.0025606	0.02519	0.19879	0.72094
OR5F1	6	-0.17048	-1.2336	0.073244	0.22235	0.21734	0.9996	-0.10893	-0.78681	0.36472	0.5427	0.43139	0.80257
METTL1	6	0.24373	1.0293	0.0060392	0.048022	0.30336	0.9996	0.24652	1.0388	0.025316	0.10732	0.29888	0.75451
CHMP6	6	0.12023	0.55547	0.16446	0.3554	0.57857	0.9996	-0.1819	-0.82397	0.12789	0.28576	0.40996	0.79534
hsa-mir-5681a	4	0.18059	0.94697	0.094599	0.25669	0.34365	0.9996	-0.19449	-1.0172	0.19287	0.36769	0.30906	0.75959
hsa-mir-632	4	-0.073428	-0.32645	0.5472	0.72449	0.74409	0.9996	0.34449	1.5398	0.010436	0.061591	0.12362	0.69329
ZFP2	6	0.23273	1.3334	0.0089864	0.061773	0.18241	0.9996	0.016213	0.091682	0.86303	0.92006	0.92695	0.97933
hsa-mir-6511a-4	4	0.18716	0.57493	0.083825	0.24047	0.56534	0.9996	0.21625	0.66045	0.10687	0.25748	0.50897	0.83029
BAIAP2L2	6	-0.070575	-0.38875	0.47454	0.66576	0.69746	0.9996	0.13453	0.74101	0.2205	0.39927	0.45869	0.81267
PGAM5	6	-0.03223	-0.22216	0.77582	0.87873	0.82419	0.9996	0.099902	0.68853	0.35801	0.5366	0.49112	0.82435
NLGN4X	6	-0.081859	-0.24671	0.40144	0.60308	0.80514	0.9996	0.17605	0.53159	0.11107	0.26331	0.59501	0.86112
PCDHGA6	2	0.36148	0.82577	0.023336	0.1092	0.40893	0.9996	0.26176	0.59793	0.16891	0.3386	0.54989	0.84402
CXCR7	3	-0.19524	-1.0309	0.14605	0.3314	0.30258	0.9996	-0.36803	-1.9351	0.039134	0.14041	0.05298	0.64131
KCNQ1	6	0.2071	1.093	0.018601	0.094409	0.2744	0.9996	-0.71977	-3.6907	0	0	0.00022367	0.34474
ZCCHC24	6	0.06965	0.27213	0.40671	0.60727	0.78552	0.9996	-0.15186	-0.58459	0.20553	0.38238	0.55882	0.84796
COA1	6	-0.16676	-0.82961	0.079621	0.23356	0.40676	0.9996	-0.44966	-2.2161	0.00028988	0.0056764	0.026682	0.64072
hsa-mir-320e	4	0.25807	0.73887	0.020147	0.099952	0.45998	0.9996	0.11533	0.32579	0.39197	0.56774	0.74458	0.91805
RALA	6	-0.19372	-0.70732	0.041067	0.15684	0.47937	0.9996	0.16167	0.59552	0.14407	0.30736	0.55149	0.84535
TCF3	6	-0.11115	-0.6529	0.25031	0.45976	0.51382	0.9996	-0.23232	-1.3606	0.052565	0.16808	0.17365	0.71445
KRT1	6	-0.00012888	-0.00082449	0.94599	0.9734	0.99934	0.99986	0.15864	1.0137	0.15156	0.31607	0.31071	0.76008
SNN	6	0.20167	0.94832	0.022031	0.10543	0.34297	0.9996	0.191	0.89332	0.083969	0.22291	0.37169	0.77783
MPLKIP	6	-0.34359	-1.5109	0.00028988	0.0074813	0.13081	0.9996	0.24121	1.0676	0.028409	0.11429	0.28571	0.74979
MPP2	6	-0.14122	-0.67954	0.13866	0.32207	0.4968	0.9996	0.062127	0.29889	0.56426	0.71357	0.76502	0.9275
SLC7A3	6	-0.00087503	-0.0034658	0.95318	0.97809	0.99723	0.9996	-0.35412	-1.3776	0.0046381	0.0379	0.16832	0.7117
CHD7	6	0.15334	1.0555	0.079959	0.23412	0.29118	0.9996	-0.16562	-1.1305	0.16866	0.33828	0.25828	0.74099
SNRPF	6	-0.39591	-1.0307	4.83E-05	0.0022779	0.30267	0.9996	-0.50795	-1.285	9.66E-05	0.0033389	0.19881	0.72094
ANP32E	6	0.099925	0.44137	0.2435	0.45226	0.65895	0.9996	0.53798	2.3841	0	0	0.01712	0.6378
HIST1H1C	6	0.12553	0.76425	0.1476	0.33312	0.44472	0.9996	0.23607	1.4374	0.03237	0.12384	0.15061	0.7059
hsa-mir-6809	4	-0.12582	-0.456	0.28375	0.4962	0.64839	0.9996	-0.13433	-0.48497	0.36636	0.54436	0.6277	0.87448
hsa-mir-411	4	0.0049707	0.028871	0.90931	0.9533	0.97697	0.9996	0.045457	0.26401	0.72398	0.83171	0.79177	0.93603
hsa-mir-125a	4	0.046273	0.22288	0.62378	0.78049	0.82363	0.9996	-0.11077	-0.52855	0.45758	0.62379	0.59712	0.86167
MAP1LC3B	6	-0.1619	-0.85926	0.088269	0.24693	0.3902	0.9996	0.17308	0.91972	0.11808	0.27353	0.35772	0.77447
C7orf26	6	0.076337	0.36288	0.3654	0.57118	0.7167	0.9996	0.13607	0.64564	0.21572	0.39363	0.51851	0.83348
GALNT9	6	-0.081822	-0.39471	0.40158	0.60308	0.69305	0.9996	0.26262	1.2693	0.016378	0.080907	0.20432	0.72446
SEC13	6	0.18157	0.65602	0.038844	0.15164	0.51181	0.9996	0.021578	0.077046	0.82742	0.89848	0.93859	0.98278
hsa-mir-6733	4	0.027271	0.1182	0.74983	0.86292	0.90591	0.9996	-0.23351	-0.99325	0.11847	0.27412	0.32059	0.76366
WDR96	6	-0.20601	-1.1539	0.028795	0.12547	0.24855	0.9996	0.097901	0.54969	0.36849	0.54619	0.58253	0.85564
POLR2D	6	0.16431	0.53614	0.060875	0.19811	0.59186	0.9996	0.38471	1.256	0.00038651	0.0069991	0.20912	0.72525
SLC8A2	6	0.05419	0.30429	0.50908	0.69432	0.76091	0.9996	0.1455	0.81663	0.18697	0.36104	0.41414	0.79694
MRC2	6	-0.10243	-0.82475	0.29162	0.50498	0.40951	0.9996	0.068992	0.55539	0.52338	0.67936	0.57863	0.85412
ZNF48	6	0.31925	1.5704	0.00072471	0.013204	0.11632	0.9996	0.030029	0.14653	0.76959	0.8616	0.8835	0.96587
NEDD4	6	0.40201	2.6048	4.83E-05	0.0022779	0.0091939	0.9996	0.027858	0.17953	0.78413	0.87146	0.85752	0.95682
MRPS16	6	0.22747	1.1688	0.010484	0.0671	0.24247	0.9996	0.17598	0.89793	0.11122	0.2636	0.36922	0.77697
hsa-mir-4459	4	0.34639	0.63138	0.0021258	0.024691	0.52779	0.9996	-0.23686	-0.41743	0.11315	0.26605	0.67636	0.89101
STX7	6	-0.047334	-0.36343	0.6505	0.79815	0.71629	0.9996	0.23112	1.7762	0.036187	0.13294	0.075698	0.6542
UFC1	6	-0.37014	-1.6849	0.00014494	0.0052539	0.091999	0.9996	0.050542	0.23099	0.63344	0.76489	0.81732	0.94417
CHD9	6	-0.41575	-2.5252	4.83E-05	0.0022779	0.011564	0.9996	-0.15201	-0.92447	0.20533	0.38223	0.35524	0.77447
RAPGEF5	6	-0.11928	-0.84554	0.21591	0.41998	0.39781	0.9996	-0.33753	-2.3738	0.0062808	0.046099	0.017607	0.6378
EGFL6	6	0.17506	1.1838	0.045802	0.16826	0.23648	0.9996	0.18651	1.2608	0.091941	0.23482	0.20738	0.72496
HIST2H2AC	6	-0.14062	-0.32269	0.14035	0.32389	0.74693	0.9996	0.32091	0.74361	0.003237	0.029897	0.45711	0.81236
PHKG1	6	-0.17886	-0.73568	0.060537	0.19739	0.46192	0.9996	-0.1338	-0.54793	0.26442	0.44503	0.58374	0.85629
SNX16	6	0.13259	0.72815	0.12726	0.30735	0.46652	0.9996	0.11674	0.6393	0.28737	0.46916	0.52263	0.8355
SEL1L	6	0.15579	0.74773	0.074983	0.22499	0.45462	0.9996	0.13365	0.63805	0.22379	0.40289	0.52344	0.8355
GYS2	6	0.24231	1.2968	0.0065224	0.050714	0.19471	0.9996	0.22181	1.1812	0.045463	0.15452	0.23751	0.73289
POLH	6	0.20872	0.98113	0.017393	0.090158	0.32653	0.9996	0.26925	1.2632	0.014059	0.07414	0.2065	0.72496
FMR1	6	-0.22404	-1.0104	0.016813	0.088572	0.31229	0.9996	0.035944	0.16231	0.72964	0.83538	0.87106	0.96151
CALM3	6	0.18803	1.1736	0.032902	0.13702	0.24055	0.9996	0.20051	1.2514	0.0702	0.20014	0.21078	0.7256
DLG3	6	-0.1938	-1.2389	0.040825	0.15637	0.21537	0.9996	0.091454	0.58505	0.40168	0.57635	0.55851	0.84796
TRAF5	6	-0.24454	-1.4054	0.0097111	0.064176	0.15989	0.9996	0.019179	0.11036	0.84293	0.90766	0.91212	0.97517
PURG	6	-0.00015502	-0.00081908	0.94613	0.97346	0.99935	0.99986	-0.040954	-0.21591	0.74452	0.84522	0.82906	0.94792
hsa-mir-3168	4	-0.16881	-0.74234	0.14615	0.3314	0.45788	0.9996	-0.28048	-1.2305	0.06247	0.18753	0.21852	0.72999
GUCA2A	6	0.28988	1.1349	0.0014494	0.019646	0.25643	0.9996	0.15723	0.61171	0.15581	0.32182	0.54073	0.84094
KRTAP21-2	6	0.20009	0.90626	0.022708	0.10745	0.3648	0.9996	0.24979	1.1285	0.023287	0.10113	0.25913	0.74173
GPR156	6	0.077186	0.46526	0.36032	0.56719	0.64174	0.9996	-0.069565	-0.41653	0.5659	0.7149	0.67702	0.89134
FBLN1	6	0.26973	1.2103	0.0023674	0.026022	0.22616	0.9996	0.14892	0.66605	0.17702	0.34852	0.50538	0.82841
GMFB	5	0.019165	0.12814	0.79583	0.89023	0.89804	0.9996	0.27011	1.8065	0.023287	0.10113	0.070834	0.65162
IGF1R	6	0.10296	0.69939	0.23012	0.43739	0.48431	0.9996	0.24516	1.665	0.025945	0.10881	0.095915	0.66978
SPATC1	6	0.27824	2.0944	0.0020775	0.024571	0.036229	0.9996	0.091447	0.6851	0.40173	0.57635	0.49328	0.82538
OR51B2	6	0.12744	0.58432	0.14253	0.32698	0.55901	0.9996	0.17422	0.79604	0.11537	0.26937	0.42601	0.80029
UGT2B17	4	0.087858	0.51523	0.38873	0.59231	0.60639	0.9996	0.25166	1.4752	0.060247	0.18303	0.14015	0.70378
hsa-mir-8085	4	-0.29608	-1.2574	0.011644	0.07126	0.20862	0.9996	-0.19601	-0.83034	0.18987	0.36412	0.40635	0.7934
USP39	6	0.17988	0.8075	0.040632	0.15594	0.41938	0.9996	0.23307	1.044	0.034689	0.12935	0.29648	0.75445
C22orf46	6	0.019601	0.061668	0.77524	0.87827	0.95083	0.9996	0.32358	1.0195	0.0030438	0.028481	0.30797	0.75928
IMPACT	6	-0.057576	-0.29132	0.56919	0.74122	0.77081	0.9996	0.31543	1.6006	0.0037685	0.032856	0.10946	0.68701
SLC31A2	6	0.063209	0.37571	0.44739	0.64176	0.70713	0.9996	-0.20906	-1.2359	0.081071	0.21851	0.21651	0.72999
CYP3A4	6	-0.074197	-0.39921	0.44864	0.64281	0.68974	0.9996	-0.19929	-1.0635	0.095806	0.24039	0.28757	0.75045
TAAR1	6	0.17906	0.91066	0.041115	0.15684	0.36248	0.9996	0.47148	2.3981	0	0	0.016479	0.6378
MAPK14	6	-0.1729	-1.1275	0.069765	0.21614	0.25953	0.9996	-0.0892	-0.58138	0.45695	0.62334	0.56098	0.84859
VPS13A	6	-0.35873	-1.7998	0.00019326	0.0058224	0.071886	0.9996	0.12433	0.62663	0.25785	0.43807	0.5309	0.83767
hsa-mir-548f-3	3	-0.0083235	-0.031995	0.99758	0.99908	0.97448	0.9996	-0.59595	-2.2685	0.0018842	0.019837	0.023301	0.6378
SEMG1	6	-0.096887	-0.54576	0.31853	0.53028	0.58523	0.9996	-0.34769	-1.9359	0.0053628	0.041918	0.052884	0.64131
RBM28	6	-0.015659	-0.073173	0.9183	0.95835	0.94167	0.9996	-0.19573	-0.90176	0.10117	0.24843	0.36718	0.77669
hsa-mir-631	4	0.1034	0.49518	0.3165	0.52886	0.62047	0.9996	0.38515	1.8457	0.0042999	0.036091	0.064941	0.64709
BLOC1S6	6	0.012812	0.083422	0.83201	0.91068	0.93352	0.9996	-0.48416	-3.1256	9.66E-05	0.0033389	0.0017743	0.45659
NTN5	6	0.17099	0.96392	0.051261	0.1794	0.33509	0.9996	0.20553	1.1587	0.064016	0.18994	0.24657	0.73696
IFI16	6	0.036717	0.16343	0.63813	0.79061	0.87018	0.9996	0.12613	0.56054	0.25104	0.43095	0.57511	0.85308
DDX55	6	-0.16799	-0.83141	0.077592	0.23018	0.40574	0.9996	-0.20454	-1.0087	0.087545	0.22864	0.31313	0.76132
PSMD1	6	0.21971	1.0019	0.013093	0.076017	0.31638	0.9996	0.24103	1.095	0.02865	0.11506	0.27354	0.74584
hsa-mir-378a	4	-0.094403	-0.34088	0.42767	0.62665	0.73319	0.9996	-0.097722	-0.35039	0.51218	0.67002	0.72604	0.91104
ITPRIPL1	6	0.029507	0.12877	0.69567	0.83001	0.89754	0.9996	-0.20402	-0.88374	0.088269	0.22938	0.37684	0.77971
3-Mar	6	0.16189	0.73866	0.064257	0.20509	0.46011	0.9996	0.28725	1.3101	0.0085032	0.054455	0.19016	0.71676
FASTKD2	6	-0.2629	-1.1512	0.0059426	0.047527	0.24966	0.9996	-0.28702	-1.2481	0.017683	0.085077	0.21198	0.72695
RINT1	6	0.13347	0.63663	0.12513	0.3043	0.52436	0.9996	-0.15946	-0.75775	0.18533	0.35897	0.4486	0.81013
NEURL2	6	-0.23508	-0.6574	0.012272	0.073495	0.51093	0.9996	-0.014588	-0.040815	0.92091	0.95554	0.96744	0.99093
RBMS1	6	0.1893	0.8831	0.031791	0.13397	0.37718	0.9996	0.27905	1.3005	0.010436	0.061591	0.19342	0.71863
TGM1	6	0.16799	1.0286	0.055899	0.18871	0.30368	0.9996	-0.17129	-1.0396	0.1534	0.31849	0.29853	0.75445
ANKFN1	6	0.10501	0.6104	0.22113	0.427	0.5416	0.9996	0.061111	0.35247	0.57006	0.71796	0.72449	0.91031
CALCOCO1	6	0.18756	1.3995	0.033288	0.13774	0.16165	0.9996	-0.1558	-1.1596	0.19562	0.37048	0.24621	0.73674
MYBBP1A	6	0.21697	0.91535	0.014398	0.080693	0.36001	0.9996	0.025627	0.10679	0.79916	0.88076	0.91496	0.97623
MEX3A	6	0.016525	0.10678	0.80085	0.89339	0.91496	0.9996	0.26859	1.7371	0.014349	0.075247	0.082373	0.65665
GTF3A	6	-0.31066	-1.4988	0.00091796	0.01536	0.13392	0.9996	0.078017	0.3785	0.47188	0.63583	0.70506	0.90194
LYPD1	6	0.036178	0.16319	0.64195	0.7924	0.87037	0.9996	-0.4348	-1.9118	0.00038651	0.0069991	0.055896	0.64316
PRPF38A	6	-0.33245	-0.95909	0.00038651	0.008658	0.33751	0.9996	0.17535	0.51092	0.11262	0.26519	0.60941	0.86819
OMP	6	0.062279	0.27204	0.45323	0.64656	0.78559	0.9996	-0.16561	-0.72241	0.16871	0.33834	0.47004	0.81697
SUMO3	6	-0.077242	-0.44468	0.43106	0.62915	0.65655	0.9996	0.17546	1.0112	0.11238	0.26494	0.3119	0.76065
RFK	6	0.18757	0.68047	0.033288	0.13774	0.49621	0.9996	0.53901	1.9604	0	0	0.049951	0.64072
GINS3	6	-0.079491	-0.38575	0.41613	0.61614	0.69968	0.9996	0.34492	1.676	0.0012562	0.015072	0.093732	0.66839
SETD1A	6	0.046398	0.23028	0.56445	0.7377	0.81787	0.9996	0.19031	0.94254	0.085129	0.22463	0.34592	0.7726
TCF21	6	-0.12841	-0.8373	0.18065	0.3765	0.40242	0.9996	0.22009	1.4363	0.046719	0.15673	0.15092	0.7059
ZNF404	6	0.2044	1.3408	0.020437	0.101	0.17997	0.9996	-0.11774	-0.76921	0.32588	0.50596	0.44177	0.80743
SYT8	6	-0.16172	-0.8126	0.088656	0.2476	0.41645	0.9996	0.031692	0.15923	0.75862	0.85486	0.87349	0.96275
TMEM214	6	0.15139	0.66774	0.083535	0.23994	0.5043	0.9996	0.37761	1.6662	0.00053145	0.0087859	0.095673	0.66978
SMCO2	6	0.056361	0.33217	0.49502	0.68288	0.73976	0.9996	-0.32522	-1.9092	0.0076336	0.050788	0.056232	0.64316
hsa-mir-6867	4	0.038893	0.17941	0.67031	0.81225	0.85761	0.9996	0.17703	0.81516	0.1876	0.36185	0.41498	0.79781
hsa-mir-3934	4	0.36467	1.1439	0.0013528	0.018906	0.25265	0.9996	-0.050089	-0.15214	0.74688	0.84684	0.87908	0.96475
ANP32D	6	0.014299	0.11618	0.81868	0.90322	0.90751	0.9996	0.17758	1.4419	0.10759	0.25841	0.14932	0.70562
PTGIR	6	0.087155	0.46033	0.30723	0.51974	0.64528	0.9996	-0.24308	-1.2772	0.044111	0.15176	0.20155	0.7226
hsa-mir-4316	4	-0.11057	-0.37454	0.34858	0.55723	0.708	0.9996	-0.22963	-0.77112	0.12518	0.28237	0.44063	0.80675
MEP1A	6	0.06592	0.39994	0.43048	0.62869	0.6892	0.9996	-0.35507	-2.133	0.0045898	0.037683	0.032926	0.64072
EXOC5	4	0.12253	0.39756	0.24162	0.45022	0.69096	0.9996	-0.023547	-0.075458	0.88501	0.93454	0.93985	0.98315
SYNRG	6	0.16192	1.0319	0.064257	0.20509	0.30211	0.9996	0.035346	0.22467	0.7336	0.83778	0.82224	0.94553
AURKB	6	0.092502	0.3307	0.27993	0.49198	0.74087	0.9996	-0.1644	-0.58333	0.17171	0.3417	0.55967	0.84843
FAM134C	6	-0.07566	-0.32635	0.43951	0.63545	0.74416	0.9996	0.10086	0.43497	0.3539	0.53276	0.66359	0.88584
hsa-mir-181d	4	0.23279	1.1039	0.034689	0.14148	0.26964	0.9996	-0.37476	-1.7649	0.015122	0.077494	0.077578	0.655
SHCBP1	6	-0.0081191	-0.039866	0.98362	0.99288	0.9682	0.9996	-0.33871	-1.6519	0.0059426	0.044469	0.098565	0.67302
BTG2	6	-0.25487	-1.0783	0.0077302	0.056677	0.28092	0.9996	0.32723	1.3919	0.0025606	0.02519	0.16396	0.70929
OR1B1	6	0.00037024	0.0035421	0.94135	0.97085	0.99717	0.9996	-0.026765	-0.25526	0.83694	0.90436	0.79852	0.93806
PHF15	6	-0.16262	-0.88776	0.087206	0.24578	0.37467	0.9996	0.049299	0.26913	0.64228	0.77189	0.78783	0.93478
CGB1	3	0.13701	0.39941	0.25471	0.46478	0.68959	0.9996	0.55661	1.6187	0.00043482	0.0075821	0.10551	0.68142
IKZF2	6	-0.0041747	-0.022867	0.98092	0.99204	0.98176	0.9996	-0.246	-1.3371	0.042033	0.14711	0.18118	0.71487
DHRS7B	6	-0.20556	-1.2504	0.028988	0.12608	0.21116	0.9996	0.12922	0.78702	0.23944	0.41858	0.43127	0.80257
FAM26E	6	0.16074	0.97543	0.066432	0.20922	0.32935	0.9996	-0.16951	-1.0127	0.15765	0.32416	0.3112	0.76011
TMEM127	6	0.0079831	0.041323	0.87139	0.93354	0.96704	0.9996	-0.064881	-0.33405	0.59363	0.73491	0.73834	0.91572
SEBOX	6	-0.14554	-0.50186	0.12774	0.30769	0.61576	0.9996	0.12612	0.43568	0.25104	0.43095	0.66307	0.88577
hsa-mir-4744	4	-0.031642	-0.12608	0.82496	0.90728	0.89967	0.9996	-0.2823	-1.1239	0.060151	0.18295	0.26106	0.74325
RBAK-RBAKDN	2	-0.276	-0.25345	0.10006	0.265	0.79992	0.9996	-0.59645	-0.53335	0.011402	0.06434	0.59379	0.86054
CABP2	6	-0.034657	-0.15566	0.75515	0.86618	0.8763	0.9996	-0.28961	-1.2883	0.016475	0.081113	0.19765	0.72094
MAL2	6	-0.22325	-1.3902	0.017248	0.089789	0.16448	0.9996	0.18823	1.1747	0.088608	0.22982	0.24012	0.73299
ZNRF1	6	-0.064988	-0.23996	0.51382	0.69877	0.81036	0.9996	0.14682	0.54211	0.18301	0.35602	0.58774	0.85818
DDR2	6	0.21962	1.2604	0.013141	0.076148	0.20753	0.9996	-0.17054	-0.95881	0.15528	0.32124	0.33765	0.76892
SPAST	6	0.094971	0.47324	0.26814	0.47961	0.63604	0.9996	0.43459	2.17	0.00014494	0.0037406	0.030007	0.64072
CDIPT	6	0.25161	0.8448	0.0045898	0.040135	0.39822	0.9996	0.48553	1.6317	0	0	0.10275	0.67914
PRKAG2	6	0.031955	0.22358	0.67548	0.81627	0.82308	0.9996	-0.15059	-1.0527	0.20978	0.38733	0.2925	0.75256
SLC22A16	6	-0.041141	-0.27711	0.70248	0.83458	0.7817	0.9996	-0.15333	-1.0255	0.20152	0.37752	0.30513	0.75853
VSTM5	6	0.121	0.67378	0.16122	0.35104	0.50045	0.9996	0.35529	1.9791	0.00091796	0.012203	0.047801	0.64072
PTPRM	6	-0.10498	-0.68361	0.27921	0.49124	0.49422	0.9996	0.38355	2.5035	0.00038651	0.0069991	0.012297	0.61778
OR9Q2	6	0.14074	0.87453	0.10644	0.27529	0.38183	0.9996	0.14328	0.88805	0.19326	0.36819	0.37452	0.7786
XRCC5	6	-0.049513	-0.24608	0.63349	0.78751	0.80562	0.9996	0.23865	1.1889	0.030341	0.1188	0.23447	0.73289
